Eastern Abenaki	Alənɑpɑtəwewɑkan	aaq-000	w3lji													
Eastern Armenian	արևելահայերեն	hye-000	ձեռք	արմունկ	դեմք	հեռավորություն	դիպչել	լվալ	հազալ	տուն	բաժին	համայնք	ընկեր	ընտանիք	ոչ	մնալ
Eastern Arrernte	Ikngerripenhe	aer-000	ilty~e													
Eastern Balti	Eastern Balti	bft-001	lakth~il													
Eastern Hill	Eastern Hill	bgp-000	dast~													
Eastern Kayah Li	Eastern Kayah Li	eky-000	kuxu													
Eastern Libyan Arabic	Eastern Libyan Arabic	ayl-001	yad													
Eastern Marshallese	Eastern Marshallese	mah-001	pa													
Eastern Mnong	Eastern Mnong	mng-000	ti					rao								
Eastern Nyunga	Eastern Nyunga	nys-005	mar													
Eastern Ojibwa	Nishnaabemwin	ojg-000	nninC													
Eastern Pocomam	Eastern Pocomam	poc-001	q"am"													
Edo / Bini	Ẹ̀dó	bin-000	bo													
Egyptian	r n km.t	egy-000	ḏrt		ḥr											
Egyptian	𓂋𓏤𓈖𓈎𓅓𓏏𓊖	egy-005			𓁷𓏺											
Egyptian Arabic	Masri	arz-001	id													
El Nayar Cora	naáyarite	crn-000	moaka													
Embu	Kĩembu	ebu-000	njara	kIthu	thiU			vUra nguo		mUciI						
Emoji	Emoji	art-334												👪		
English	English	eng-000	hand	elbow	face	distance	touch	wash	cough	home	share	community	friend	family	no	stay
English	𐐀𐑍𐑊𐐮𐑇	eng-006													𐑌𐐬	
Erzya	эрзянь кель	myv-000	кедь	кенере пакарь	чама	ютко	ледстнемс	пезэмс	козомс	кудо	пелькс	вейсэндявкс	оя	кудораське	вейксэяк	кадовомс
Esperanto	Esperanto	epo-000	mano	kubuto	vizaĝo	distanco	tuŝi	lavi	tusi	hejmo	akcio	komunumo	amiko	familio	ne	resti
Estonian / Standard Estonian	eesti	ekk-000	käsi	küünarnukk	nägu	kaugus	puudutama	pesema	köha	kodu	aktsia	kogukond	sõber	perekond	ei	jääma
European Portuguese	português europeu	por-002												família	não	
Evenki	эвэды̄ турэ̄н	evn-000	ӈалэ		бадэ								гирки	дю̄ган		
Ewe	Ɛʋɛgbɛ	ewe-000	asi	àbɔ̆glìgó	mò		tɔ̀ àsí	lè tsì	kpé kpé	ʋɔtru			velia	ƒome	nyo	tsí
Ewondo	ewondo	ewo-000	wa													
Faroese	føroyskt	fao-000	hond	albogi	andlit	frástøða	nerta	vaska	hosta	heim	partabræv		vinur	ætt	nei	búgva
Farsi / Persian	فارسی	pes-000	دست	آرنج	صورت	مسافت	لمس کردن	شستن	سرفه	خانه	سهم	عموم	دوست	خاندان	نه	هاچه
Filipino	Wikang Filipino	fil-000	kamáy	siko	mukhâ	layò	salat	hugas	ubó				kaibigan	pamilya	hindî	tahán
Finnish	suomi	fin-000	käsi	kyynärpää	kasvot	etäisyys	koskea	pestä	yskä	koti	osake	yhteisö	ystävä	perhe	ei	jäädä
Finnish Kalo	Romanó Kaló	rmf-000	vast													
Flathead / Montana Salish	Montana Salish	fla-001	CelS													
Flathead Salish	séliš	fla-000	CelS													
Fox	Fox	sac-001	-mīgi-		-gwä-		mä`ce-	ke`sī-	i`ci`su-					-gAmigi-		Api-
Foxish	Foxish	art-339													growf	
French	français	fra-000	main	coude	visage	distance	toucher	laver	tousser	maison	partager	communauté	ami	famille	non	rester
Friulian	lenghe furlane	fur-000	man	comedon	muse		tocjâ	lavâ	tossi	cjase			amì	famee	nissun	stâ
Fu-zhou Dialect	福州話	cdo-001			朝		撞									
Fulniô	Fulniô	fun-000	kh~oho													
Futuna-Aniwa	Futuna-Aniwa	fut-000	rima													
Futunan / Futunian / East Futuna	Faka Futuna	fud-000	rima												see	
Fyam	ɗifyem	pym-000	hubo													
GSB Karwar	GSB Karwar	gom-004	aapTaii										mitr	sau.nsaar		
GSB Mangalore	GSB Mangalore	gom-001	haatu	ko.mporuu	to.nDii	antara	aappuDche	dhuvche.n	khaanki	ghara	va.nTo		dosthu	gharaNy	na	
Gadjerawang / Gajirrabeng	Gajirrabeng	gdh-000													ŋuwak	
Galician	galego	glg-000	man	cóbado	cara	distancia	tocar	lavar	tusir	casa	compartir	comunidade	amigo	familia	non	ficar
Gambian Wolof	Gambian Wolof	wof-000	loxo													
Gan Chinese	贛語	gan-000	手					洗								
Garifuna	Garifuna	cab-000	ühabu	ügünügü	igibu			achibagua			ufaran	ageiraü	namú	familia	uá	
Gawri / Kalami	Gawri	gwc-000	th~E7r													
Gen	Gen	gej-000	alo													
Georgian	Kartuli	kat-001	k'aligrapia										amchanagi			
Georgian	ქართული	kat-000	ხელი	იდაყვი	სახე	მანძილი	შეხება	რეცხვა	ხველა	სახლი	განაწილება	საზოგადოება	მეგობარი	ოჯახი	არა	დარჩენა
German	Deutsch	deu-000	Hand	Ellbogen	Gesicht	Abstand	berühren	waschen	husten	Heim	Aktie	Gemeinschaft	Freund	Familie	nein	bleiben
Geser	Geser-Gorom	ges-000	ma												tei	
Ge’ez	ግዕዝ	gez-000	እድ													
Ghachok Gurung	Ghachok Gurung	gvr-001	yo													
Ghanaian Pidgin English	Ghanaian Pidgin English	gpe-000	han													
Gheg / Gheg Albanian	gegnisht	aln-000	dor3							shtepia				shtepia		
Ghotuo	Ghotuo	aaa-000	bo													
Gold / Nanai / Goldi / Hezhen	Нанай	gld-001	нгала		дэрэл								бари	нуктэн		
Gothic	𐌲𐌿𐍄𐌹𐍃𐌺	got-000	𐌷𐌰𐌽𐌳𐌿𐍃	𐌺𐌽𐌹𐌿	𐌰𐌽𐌳𐍅𐌰𐌹𐍂𐌸𐌹		𐍄𐌴𐌺𐌰𐌽	𐌸𐍅𐌰𐌷𐌰𐌽	𐍈𐍉𐍃𐍄𐌰𐌽	𐌷𐌰𐌹𐌼𐍃			𐌷𐌿𐌻𐌸𐍉	𐌷𐌴𐌹𐍅𐌹𐍃𐌺𐌹	𐌽𐌴	
Grand Valley Dani	Grand Valley Dani	dnt-000	egi													motok
Grass Koiari	Grass Koiari	kbk-000	abuti		nivate			fufuni bataba								
Greek / Modern Greek	ελληνικά	ell-000	χέρι	αγκώνας	πρόσωπο	απόσταση	αγγίζω	πλένω	βήχας	σπίτι	μετοχή	κοινότητα	φίλος	οικογένεια	όχι	μένω
Greenhill-qas	Greenhill-qas	map-011	bani-												tia	
Greenhill-qat	Greenhill-qat	map-012	nəma													
Greenlandic	kalaallisut	kal-000	assak		kiinaq								aaqqiak	ilaqutariit		
Grenadian Creole English	Grenadian Creole English	gcl-000	han													
Guarani	avañeʼẽ	gug-000	po	t-eɲɨvaᵑga	tova		poko	johéi	huʼu	óga	viruñemoi		irũ	ogapypegua	nahániri	pɨta
Guerrero Amuzgo	Ñomndaa	amu-000	nt7~o													
Guianese Creole French	Guianese Creole French	gcr-000	lanmen													
Guigang Central Hongshuihe Zhuang	Guigang Central Hongshuihe Zhuang	zch-000	fuN													
Guina-ang Bontoc (generic orthography)	Guina-ang Bontoc (generic orthography)	lbk-009		síko	lópa				ok-ok	baley	omagtan		káyong		eg-ay	indagas
Gujarati	ગુજરાતી	guj-000	હાથ	તેને ઢાંકતો બાંયનો ભાગ	મુખ	છેટું	અડકવું	પાણી ઇ. પ્રવાહીથી ધોવું	ખાંસી	ઘર	ભાગ	સમૂહ	દોસ્ત	પરિવાર	નથી	ચોળી
Gulf Arabic	Khaliji	afb-001	yad													
Gumatj	Gomaidj	gnn-000	goN													
Gurbet Romani	Gurbet Romani	rmy-002	va													
Gurvari Romani	Gurvari Romani	rmc-004	vast													
Gusii / Ekegusii	Ekegusii	guz-000	okoboko	ekegikoro	ubosio			ogosibia	gokorora	inka						gotigara
Guugu Yimithirr	Guguyimidjir	kky-000	mangal	bunggu	dyinu											
Ha	Ha	haq-000	bhoko	kokola	ruhanga			ukwiyuhagila	kolola	iwachu						ugusigala
Haitian Creole	kreyòl ayisyen	hat-000	men	koud	figi	distans	manyen	lave	touse	lakay	separe	kominate	zanmi	fanmi	non	rete
Hakka / Hakka Chinese	客家話	hak-000	埀	肘	顏	程	擵	溉	㱄	室	分	閭	僚	族	無	域
Hakka Modern Spelling System	Hakkafa	hak-001	sux		miefn		miaxtor			logkhax			pho̱xng’iux	kaxzok		liuxturn
Halkomelem	Halkomelem	hur-002	cel3xy~													
Hamer	Hamer-Banna	amf-000	aːnni													
Hamtai	Hamtai	hmt-000	feʔa													
Han-Script Early Zhou Chinese	Han-Script Early Zhou Chinese	och-002	手													
Harw East Olya Khorasani	Harw East Olya Khorasani	kmz-004	al													
Hausa	Hausa	hau-000	hannu	gwiwar hannu	fuska	nīsā	taɓa	wanke	tā̀rī	gidā̀jē	rábàa		aboki	iyali	aʼa	zaunā̀
Hawaiian	ʻōlelo Hawaiʻi	haw-000	lima	kuʻekuʻe lima	maka	loa	pā	holoi	kunu	hale	kea	wahi noho like o ka poʻe	hoaloha	ʻohana	ʻaʻole	ō
Hdi	hədi	xed-000	c3vu													
Hebrew / Modern Hebrew	עברית	heb-000	יד	מרפק	פנים	מרחק	ריגש	לרחוץ	שיעול	בית	מניה	קהילה	חבר	משפחה	לא	נשאר
Hehe	Hehe	heh-000	woko	sukusuku	su			ukufuva	gohomola	ukweetu						sigala
Hejazi Arabic	حجازي	acw-000	īd										ṣāḥib	ʻēla	لا	nazal
Helsinki slang	Helsingin slangi	fin-001	hand~u													
Hill Dialect	Hill Dialect	lnu-001	tala nawa										sɪfalka			
Hill Maria Gondi	Hill Maria Gondi	mrr-001	kayu													
Hill Remo	Hill Remo	bfw-001	ti-ti / ti	sunu?ku-ti	sar-mo? / mo?				ku.kup				sela	a-muy-ḍio		
Hindi	हिन्दी	hin-000	हाथ	कोहनी	चेहरा	दूरी	लग	धोना	खाँसी	घर	हिस्सा	लोग	मित्र	परिवार	नहीं	बस
Hittite	nešili	hit-000	ŠU		mena-			ārr-			maniyahh-		taksul	hassātar-	<i>ŪL</i>	as-
Hittite	𒉈𒅆𒇷	hit-001								𒂍					𒈾𒀜𒋫	
Hmong Daw / White Hmong	Hmoob Dawb	mww-000	te₅	luj tshib	ntsej muag		kov	ntxuav	hnoos		sib-faib		phooj ywg	tsev neeg	tʃi 7	
Hoava	Hoava	hoa-000	reŋgu-												kari	
Hopi	Hopilàvayi	hop-000	maat					vahoma							k’aeʼ	
Huaxcaleca Nahuatl	Huaxcaleca Nahuatl	nhq-000	ma													
Hungarian	magyar	hun-000	kéz	könyök	arc	távolság	érint	mos	köhög	ház	részvény	közösség	barát	család	nem	marad
Hungarian Vend Romani	Hungarian Vend Romani	rmc-005	va													
IDS Concepticon	IDS Concepticon	art-272	04.33	04.32	04.204		15.71	04.69	04.53		11.91		19.51	02.82	17.56	12.16
ISO 12620	ISO 12620	art-317				distance				home				family	no	
ISO 639	PanLem	art-000													neg	
Icelandic	íslenska	isl-000	hönd	olnbogi	andlit	fjarlægð	snerta	þvo	hósta	heimili	hluti	samfélag	vinur	fjölskylda	nei	dvöl
Igbo	asụsụ Igbo	ibo-000	aka	ǹkù akā	-do iru	anya	-metụ	-kwọ	-kwa		òkè		enyi	ezi ṅülö	ḿbà	-dọ
Iliamna Tanaina	Iliamna Tanaina	tfn-001	=qun-ʔa													
Ilocano	Iloko	ilo-000	ima	siko	rúpa	adayó	aríkap	ugas	uyék	balay	bági		gayyem	pamilia	saan	naéd
Inari Sami	anarâškielâ	smn-000	ky~eto							táálu				peerâ		
Indo-Portuguese	Indo-Portuguese	vkp-000	ma*w													
Indonesian	bahasa Indonesia	ind-000	tangan	siku	muka	jarak	sentuh	cuci	batuk	rumah	membagi	masyarakat	teman	keluarga	tidak	tinggal
Ingrian	Ingrian	izh-000	kEzi													
Ingush	гӀалгӀай мотт	inh-000	кулг		юхь	шин моттига юкъера юкъ							доттагӏа	дезал		
Inland Karajarri	Inland Karajarri	gbd-001	golgo	yulgu	mibar		yawer ma-njan	walgoro	gindel	ŋora			mudja		molal	maṇa wandinja
Inland Lamalama	Inland Lamalama	lby-002	kul													
Inland Tanaina	Inland Tanaina	tfn-002	=qun-a													
Inner Mbugu Bumbuli	Inner Mbugu Bumbuli	mhd-002	izogera													
Innu / Montagnais / Innu-aimun	Innu-aimun	moe-000	tiCi												mauat	
Interlingua	interlingua	ina-000	mano	cubito	facie	distantia	tacto	lavar	tussir	domo	parte	communitate	amico	familia	no	restar
Inuktitut	ᐃᓄᒃᑎᑐᑦ	iku-000	ᐊᒡᒐᒃ	ᐃᑯᓯᒃ	ᑮᓇᖅ		ᐃᒃᐱᖕᓂᕐᓂᖅ			ᐊᖏᕐᕋᖅ	ᓇᒻᒥᓂᖃᕐᑎᐅᔾᔪᑎ		ᐃᓅᖃᑎ	ᓂᕐᔪᑏᑦ ᐊᔾᔨᒌᓐᓂᖏᑦ	ᐋᒃᑲ	
Irish	Gaeilge	gle-000	lámh	uillinn	aghaidh	achar	bain le	nigh	casacht	teach	cuid	cumann	cara	teaghlach	níl	fan
Island Halkomelem	Hulʼqʼumiʼnumʼ	hur-001	celəs													
Isthmus Nahuatl	melaʼtájto̱l	nhx-000	ma													
Italian	italiano	ita-000	mano	gomito	faccia	distanza	toccare	lavare	tosse	casa	azione	comunità	amico	famiglia	no	rimanere
Itbayaten Batanes Islands	Itbayaten Batanes Islands	ivv-004	lima7													
Itsari	ицIари	dar-004	квачІи	кказа някъ	дягІ		ттиппяхъярай	бирцуй	хъяхІ-икІварай		бутІуй		юлдаш	кулпат	акку	каттелганай
Ivatan	ivatanən	ivv-000	rapan	sichu	muyin	vawa		lablav	gugu	i-oli			kayvan	familya	engga	matda
Ivatan Batanes Islands	Ivatan Batanes Islands	ivv-006	tanoro7													
Iwate Japanese	岩手方言	jpn-014											けやぐ			
Jakaltek	jabʼ xubʼal	jac-000	q"ab													
Jalaa / Centúúm	bàsàrə̀n dà jàlààbè̩	cet-000	dasí		baːraŋ			ba gəle mən								
Jalapa Mazatec	Én Ntáxjo̱	maj-000	nca													
Jamaican Patois	Patwa	jam-000	an	elbo	fies		tɔč	waš	kāf	yaad	šɛɩr		pasiero	faambli	nɔ	rɩmɛɩn
Japanese	Nihongo	jpn-001	te	hiji	kao	kezume	sawaru	arau	seki	shitsu	ko	koukyou	tomodachi	kazoku	iie	sei
Japanese	нихонго	jpn-153													ийэ	
Japanese	にほんご	jpn-002	て	ひじ	つら	こうてい	さわる	あらう	せきをする	かてい	わけあう	しゃかい	ゆうじん	かぞく	いいえ	まつ
Japanese	日本語	jpn-000	手	肘	顔	距離	触る	洗う	咳	家	株式	コミュニティ	友達	家族	いいえ	滞在
Javanese	basa Jawa	jav-000	tangan	sikut	rai		ndemek	ngumbah	watuk	omah	gedum			brayat	gak	
Jicarilla	Abáachi mizaa	apj-000	la7													
Jinchang White Lachi	Jinchang White Lachi	lwh-000	tcunNm													
Jola-Fonyi	Jóola-Fóoñi	dyo-000	kaŋen	éčɔ	buulab			-pɔs	lumóluːmo	elup						
Joyabaj Quiché	Joyabaj Quiché	quc-018	ab"													
Jru'	Jruq	lbo-000	t3y													
Juba Arabic	Juba Arabic	pga-000	ida													
Kabardian / East Circassian / Kabardino-Cherkess	къэбэрдеибзэ	kbd-000	хъэтI		нэгу								ныбджьэгъу	бын		
Kabyle	Taqbaylit	kab-000	afus	tighmert	issadmer	ameccaq	nnal	ssired		almessi	bdhu		imeran	agawes	ala	qim
Kagayanen	Kagayanen	cgc-000	blukan	siko												
Kajtak Dargwa	хайдакь	dar-001	бекІ няхъ	ккацца няхъ	дягІ		ккачвиркара	ицара	хъяхІикІвара		утІара		уртахъ	хъалибарк	акку	калгана
Kako	kakɔ	kkj-000	bo													
Kalabari	Kalabari	ijn-000	ɓárà				ɓárà kɛ lámà	sɪ́kɪ̀rɪ́					ikiaɓɔ́			
Kalaw Lagaw Ya	Kala Lagaw Ya	mwp-000	geth~													
Kalenjin	Kalenjin	kln-000			togoch				lal	gaa		jamii	chorwet	kapchii		pur
Kalhíphona / Island Carib	Kalhíphona	crb-000	habu													
Kallawaya	Callahuaya	caw-000	itinasuwi													
Kalmyk	хальмг келн	xal-000	һар		чирә			чүүлх					иньг	өрк-бүл		
Kamba	Kĩkamba	kam-000	oko	kIkokoa	thyU			thamba		mumba		njamii				tiwa
Kami	Kami	kcu-000	mkono	chifughunho	hanga			kusunha	koloha	ukae						kusigala
Kanala	Xârâcùù	ane-000	xɛrɛ	bwaxûmê											çiɛ	
Kannada	ಕನ್ನಡ	kan-000	ಕೈ		ಮುಖ					ಮನೆ			ಸ್ನೇಹಿತ	ಕುಟುಂಬ	ಇಲ್ಲ	
Kansa	Kansa	ksk-000	na*be													
Kapampangan	Amanung Sisuan	pam-000	gamat	siku	lupa			wasan					kaluguran		ali	
Kapingamarangi	Kapingamarangi	kpg-000	rima				bili								tee	
Kapul / Abaknon / Inabaknon	Inabaknon	abx-000	tamburoʼ	siko											maʼin	
Karachay-Balkar	къарачай-малкъар тил	krc-000	къол	чыначыкъ	бет		тиерге	джууаргъа		эшик			шуёх	юйдеги	огъай	
Karagas	Karagas	mtm-000	udada													
Karaim	karaj tili	kdr-001	kol													
Karakalpak	qaraqalpaq tili	kaa-000	qol		shıray									uʻy-ishi		
Karay-a	Kinaray-A	krj-000	alima												indi	
Karelian	karjala	krl-000	käzi		rožat			peššä		kodi			ristivelli	pereh		
Kari / Cari / Aka-Cari	Aka-Cari	aci-000	om kudimo													
Karuk	Karuk	kyh-000	tíːk	ʔišβírik	ʔá̄β		-ʔáfiš	-piθxah	-ʔáxu				ʔafyīβ		pû̄hara	-sām
Kashubian	kaszëbsczi jãzëk	csb-000	rãka		twôrz			mëc		dóm				familëjô	nié	
Kassonke	Xasonke	kao-000	bulu													
Kawi	Bhāṣa Kawi	kaw-000	taNan		harep			um-isuh-i	watuk							
Kazakh	Qazaq tili	kaz-002	qol													
Kazakh	қазақ	kaz-000	қол	шынтақ	бет	қашықтық	жағынды	жуу	жөтел	үй	бөл	қоғамдастық	дос	отбасы	жоқ	тұру
Kazakh	قازاق ٴتىلى	kaz-001	قول		بەت								دوس	سەميا		
Kenai Tanaina / Outer Inlet Tanaina	denaʼina qenaga	tfn-003	=qun-ʔa													
Ket	Остыганна ӄа’	ket-004	лёң							иңӷусь						
Khakas	хакас тили	kjh-000	хол		сырай			чуурға					нанӌы	сӧбiрi	чох	
Khalkha Mongolian	монгол	khk-000	гар	тохой	царай	зай	барих	угаалга	ханиах	эх нутаг	хуваах	нэгдэл	нөхөр	гэр бүл	үгүй	суух
Khana / Ogoni proper	Khana	ogo-000	akp~oba													
Khanag	Khanag	tab-001	χil													
Khanag	ханаг	tab-002	хилин улихь йишв	хлучч	маш		катув	жавкІув	уьгьІяр апІуб		пай апІув		дуст	кюфлет	ваъ	гъузув
Khmer / Cambodian	ភាសាខ្មែរ	khm-000	ដៃ	កែងដៃ	មុខ	ចម្ងាយ	ពាល់	ការលាង	ក្អក	ផ្ទះ	ចែក រំលែក		មិត្ត	គ្រួសារ	ទេ	
Khwarshi	Khvarshi	khv-000	leƛʼa													
Kiai / Fortsenal	Fortsenal	frt-000	lima													
Kikuyu	Gĩkũyũ	kik-000	oko	kIgokora	Uthiu			thambia		mUcii		ado				tigwo
Kildin Sami	Кӣллт са̄мь кӣлл	sjd-000	кӣдт	карьнэль	ка̄ссв		лыкхэллэ	пэ̄ссэ	коссэ	пэ̄ҏҏт	ю̄гке		ка̄ннҍц	пӣрас	не-	
Klamath	Klamath-Modoc	kla-000	n"ep													
Klao	Kru	klu-000	k3ba													
Klingon	tlhIngan Hol	tlh-000	xoph~										jup	qorDu		
Kohat City Hindko	Kohat City Hindko	hnd-002	h3th~													
Koiné / ancient Greek / Ancient Greek / Biblical Greek / Liturgical Greek / New Testament Greek	ἑλληνικὴ γλῶττα	grc-000	χείρ	ὠλένη	πρόσωπον	δρόμος	ψαύω	νίπτω	βήσσω	οἰκία	μερ		φίλος	οἰκία	οὔ	μένω
Kom	Itaŋikom	bkm-000	āwú	ngel Ïìkœ	īkə̂ʔ	ndyeèyn	kòŋ	sù	kɛ̄sí		gwoètÏì		ə̄sɔ́īn	isas i ndo	ay	chi
Koma / Konni	Konni	kma-000	nuN													
Komi-Permyak	перым-коми кыв	koi-000	ки		чужöм		павкавны	мыссьыны		керку			ёрт	семья		
Konda	కొండా	kfc-001	కియ్యు	కిలముండి	మొకొం		తాక్‌అ	నొర్దెఙ్	కొక్కి		అయవందిఙె	లోకు	నేస్తం	కుటుం		మండ్రెఙ్
Konkani	कोंकणी	kok-000	हाथु		थोंड											
Korean	한국어	kor-000	손	팔꿈치	얼굴	거리	닿다	씻다	기침	집	나누다	커뮤니티	친구	가족	아니오	머무르다
Koreguaje	koʼrevajù chùʼo	coe-000	h3th~3													
Koryak	Nymylan	kpy-000	m3nx3lN3n													
Kosovo Arli Romani	Kosovo Arli Romani	rmn-003	vast													
Koya	కోయ్బాస	kff-001	కైయ్	మున్‌గయ్	కాస		కేట		దగ్గ		పాల్	పజ్జానోర్		కాపురం	ఒద్దు	
Koyra Chiini / Western Songhay	Koyra Chiini	khq-000	kamba													
Koyraboro Senni / Eastern Songhay	Koyraboro senni	ses-000	kanbe	hankor	ndum	moorandi	maate	zukuroo	kotokoto	hugu				alaayan		
Kumyk	къумукъ тил	kum-000	къол	тирсек	бет		тиймек	жувмакъ	ёткюрмек		пайламакъ		дост	агьлю	ёкъ	къалмакъ
Kuria	Kuria	kuj-000			ubusio			hura								
Kurmanji / Kurmanji Kurdish / Northern Kurdish	Kurmancî	kmr-000	dest	aren	rû	mesafe	pelandin	şûştin	kuxik	xanî	par	civat	heval	malbat	na	mayîn
